가게명,주소,연락처,품목
비자림길,제주시 구좌읍 비자림로 2682,0507-1375-5118,"흑돼지정식 9,000원, 우럭튀김정식 13,000원, 갈치조림 中 45,000원, 고등어조림 中 30,000원"
도원식당,제주시 동문로4길 9(일도일동),010-9515-6598,"칼국수 8,000원, 콩국수 7,500원"
속초집,제주시 신산로 6(일도일동),064-752-2848,"냉면 8,000원, 쭈꾸미+칼국수+공기밥 9,000원"
동우네,제주시 연수로3길 23(일도이동),064-755-7482,"순두부 5,500원, 비빔밥 6,000원, 동우네김밥 3,000원"
성춘식당,제주시 성지로 68(일도이동),064-753-0528,"몸국 8,000원 , 국수 7,000원, 국밥 7,000원, 비빔밥 6,000원, 순두부 6,000원"
남현순대,제주시 천수로 56(일도이동),064-751-3374,"순대국밥 8,000원, 몸국 8,000원, 고기국수 8,000원, 순대국수 7,000원, 콩국수 8,000원, 멸치국수 6,000원"
용초밥,제주시 신선동길 19-1(일도이동),010-6724-8484,"부시리초밥(10ps) 7,900원, 용초밥 광어(2인분) 19,800원, 용초밥 방어(2인분) 19,800원"
명가돈까스,제주시 태성로2길 30-1(일도이동),064-711-0204,"등심돈까스 8,000원, 왕등심돈까스 10,000원, 치킨까스 9,000원, 치즈돈까스 10,000원, 등심+치즈돈까스 10,000원, 새우튀김(5개) 5,000원"
도남오거리도남점,제주시 도남로6길 16(도남동),064-722-4844,"김치찌개 5,000원, 돼지양념갈비(360g) 14,000원, 돼지생갈비(360g) 21,000원"
부지깽이,제주시 광양13길 11-2(이도이동),064-723-3522,"활고등어회(대) 60,000원, 활고등어회(소) 50,000원, 고등어조림(대) 30,000원, 고등어조림(소) 20,000원, 활우럭조림(대) 50,000원, 활우럭조림(소) 40,000원"
광양왕소금깡통구이,제주시 광양13길 13(이도이동),064-755-9966,"돌솥밥 6,000원, 비빔밥 6,000원, 된장찌개 6,000원, 국수 7,000원"
효동각,제주시 동광로6길 31(이도이동),064-751-0089,"짜장면 4,000원, 짬뽕 5,000원, 볶음밤 5,000원"
도남해돈가,제주시 신성로 61-1(도남동),064-753-8851,"오겹살(320g) 15,500원, 양념갈비(320g) 16,000원, 냉면 6,000원"
영춘식당,평전길 12,064-900-2770,"갈비탕 9,000원, 육개장 9,000원, 몸국 9,000원"
마중물삼계탕,제주시 서사로 62-2(삼도일동),064-702-8250,"삼계탕 13,000원, 닭곰탕 9,000원"
24시국수회관,제주시 남성로 122-1(삼도일동),064-702-1162,"고기국수 8,000원, 순대국밥 8,000원"
탐라가든,제주시 서사로 51(삼도이동),064-726-1300,"돼지 생갈비(200g) 14,000원, 돼지 양념갈비(230g) 12,000원, 흑돼지(180g) 19,000원, 냉면 7,000원"
양반촌,제주시 서광로5길 29(용담일동),064-721-7185,"주물럭 8,000원, 김치찌개 8,000원"
한라산도야지 남사골,제주시 서광로 3길 48(용담일동),064-751-0202,"오겹살(200g) 12,000원, 목살(200g) 12,000원, 돼지고기 샤브샤브(200g) 12,000원"
넉둥베기고사리육개장,"제주시 서문로 9-1, 1층(용담일동)",064-743-2585,"김치찌개 5,000원, 돼지국밥 6,000원"
용담생국수,제주시 용담로 95(용담이동),064-743-2503,"몸국 8,000원, 굴국밥 8,000원"
남도별미식당,제주시 흥운길 31(용담이동),064-742-0765,"순두부 7,000원, 해물된장찌개 8,000원, 청국장 8,000원, 매운갈비찜 10,000원"
만나아구찜,제주시 흥운길 31(용담이동),064-745-0230,"오겹살(200g) 15,000원, 동태찌개 8,000원, 자리물회 10,000원, 순두부 7,000원, 순두부 7,000원, 된장찌개 7,000원, 자리물회 9,000원"
인풍감자탕,제주시 만덕로 36(건입동),064-758-8414,"뼈다귀탕 8,000원, 육개장 8,000원, 몸국 8,000원"
해동이네,"제주시 임항로 242. 1층(건입동,금아빌라)",064-725-2007,"내장탕 9,000원, 해장국 8,000원, 육개장 8,000원, 곰탕 10,000원"
내가 찾은 맛고을,제주시 진남로8길 39(화북일동),064-702-0216,"삼계탕 10,000원, 녹두삼계탕 12,000원, 소머리국밥 7,000원, 소머리전골 25,000원, 묵은지오겹전골 25,000원"
일오삼가든,제주시 진남로8길 13(화북일동),064-723-0153,"김치찌개 7,000원, 된장찌개 7,000원"
서림칡냉면,진동로3길 34,064-756-2009,"동태찌개 6,000원, 냉면 7,000원"
행복맛집,제주시 진남로6길 32(화북일동),064-758-6788,"수제순두부 8,000원, 제주산고사리육개장 8,000원, 동태탕 8,000원, 알내장탕 8,000원, 콩비지찌개 8,000원"
후년하우스,제주시 삼봉로 12(삼양이동),064-759-9292/0507-1389-9292,"흑돼지샤브샤브 13,000원, 말고기(제주산)샤브샤브 14,000원"
공주네국수,"제주시 삼봉로 353, 1층(봉개동)",064-722-4533,"고기국수 8,000원, 멸치국수 6,000원, 물만두 5,000원"
마라톤식당,서광로2길 15,064-757-1945,"김치찌개 7,000원, 된장찌개 7,000원, 만두국 7,000원"
감나무집,제주시 오남로 12(오라일동),064-722-8292,"차돌된장찌개 8,000원, 차돌국밥 8,000원, 흑돼지불고기정식 9,000원"
무진장회식당,제주시 서광로2길 11-9(오라일동),064-712-6881,"메로머리지리 7,000원, 한치물회 7,000원, 자리물회 7,000원, 회덮밥 7,000원, 생선매운탕 7,000원, 해물된장찌개 7,000원"
좀녀마을뚝배기,제주시 은남길 25(연동),064-745-3535,"성게국 12,000원, 순두부 6,000원 , 해물뚝배기 9,000원"
깜돈흑돼지,제주시 삼무로3길 6(연동),064-712-9229,"흑돼지오겹살(200g) 20,000원, 김지찌개 6,000원, 청국장 6,000원, 김치찌개 6,000원"
재현이네갈비,제주시 선덕로 7(연동),064-711-5323,"양념돼지 살갈비(350g) 12,000원, 양념돼지 등갈비(450g) 15,000원, 생등갈비(450g) 15,000원, 생오겹살(200g) 17,000원"
승범이네집,제주시 월랑로 56-1(노형동),064-744-3538,"생선지리 8,000원, 어내장탕 8,000원, 회덮밥 8,000원, 매운탕 8,000원, 조림(중) 30,000원, 조림(대) 40,000원"
길벗식당,제주시 월광로 162(노형동),064-748-0848,"오리구이(1마리) 54,000원, 오겹살(200g) 14,000원"
푸른바다회포차,제주시 수덕7길 47(노형동),064-746-8844,"광어회 30,000원, 돈까스 5,000원"
금순이네,"제주시 정존1길 31, 1층(노형동)",064-711-1114,"흑돼지오겹(180g) 14,000원, 흑돼지두루치기(250g) 9,000원"
이오리,제주시 도리로 53(이호일동),064-751-4905,"정식 8,000원, 오리탕 8,000원"
이애란헤어샵,제주시 고마로 58(일도이동),064-724-0090,"커트 8,000원, 파마 25,000원"
머리만지는 남자,독짓골6길 1,064-723-8501,"커트 10,000원, 펌 30,000원"
아름다운 사람들(헤어),"제주시 중앙로 69, 2층(이도일동)",064-722-7741,"컷트 10,000원, 일반 펌 30,000원, 매직 50,000원, 염색 25,000원, 노인우대 20,000원"
지혜미용실,제주시 서사로19길 5(삼도일동),064-757-8525,"커트 12,000원, 염색 25,000원"
남문이용원,제주시 남성로 125(삼도일동),064-757-5935,"일반컷트 10,000원, 학생컷트 7,000원, 염색 13,000원, 컷트+염색 23,000원"
