Content ID,Title,Best Tags,Additional P Texts,주소,연락처,홈페이지
CONT_000000000500349,성산일출봉,"#제주도관광, #제주동쪽코스, #세계자연유산, #유네스코, #제주자연, #산책로, #제주올레, #포토스팟","#제주도관광 #제주동쪽코스 #세계자연유산, #유네스코 #제주자연 #산책로 #제주올레 #포토스팟",제주특별자치도 서귀포시 성산읍 일출로 284-12,(+82) 064-783-0959,
CONT_000000000500477,우도,"#제주여행, #제주동쪽가볼만한곳, #성산항, #땅콩, #전기자전거, #해변, #제주바다, #서빈백사, #하고수동","#제주여행 #제주동쪽가볼만한곳 #성산항, #땅콩 #전기자전거 #해변 #제주바다 #서빈백사 #하고수동",제주특별자치도 제주시 우도면 삼양고수물길 1,(+82) 064-782-5671,
CONT_000000000500281,사려니숲길,"#제주여행, #제주도갈만한곳, #한라산둘레길, #힐링제주, #삼나무, #스트레스해소, #힐링제주, #화산송이","#제주여행 #제주도갈만한곳 #한라산둘레길, #힐링제주 #삼나무 #스트레스해소 #힐링제주 #화산송이",제주특별자치도 제주시 조천읍 교래리 산 137-1,(+82) 064-900-8800,
CNTS_000000000001195,카멜리아힐,"#수목원, #아이, #커플, #동백, #수국, #어린이, #힐링, #무장애관광, #우수관광사업체","#수목원 #아이 #커플, #동백 #수국 #어린이 #힐링 #무장애관광 #우수관광사업체",제주 서귀포시 안덕면 병악로 166,(+82) 064-800-6296,https://www.camelliahill.co.kr
CONT_000000000500697,협재해수욕장,"#제주여행, #제주해수욕장, #제주물놀이, #제주바다, #한림, #가족여행, #제주서쪽, #은모래, #제주자연","#제주여행 #제주해수욕장 #제주물놀이, #제주바다 #한림 #가족여행 #제주서쪽 #은모래 #제주자연",제주특별자치도 제주시 한림읍 한림로 329-10,(+82) 064-728-3981,
CONT_000000000500496,월정리해수욕장,"#제주, #제주바다, #월정리, #월정리해수욕장, #제주서핑, #제주도서핑, #월정리서핑, #해변, #바다","#제주 #제주바다 #월정리, #월정리해수욕장 #제주서핑 #제주도서핑 #월정리서핑 #해변 #바다",제주특별자치도 제주시 구좌읍 월정리 33-3,(+82) 064-783-5798,
CONT_000000000500693,함덕해수욕장,"#제주여행, #제주해수욕장, #제주바다, #물놀이, #모래사장, #제주여름, #함덕해변, #제주동쪽","#제주여행 #제주해수욕장 #제주바다, #물놀이 #모래사장 #제주여름 #함덕해변 #제주동쪽",제주특별자치도 제주시 조천읍 조함해안로 525,(+82) 064-728-3989,
CONT_000000000500283,산굼부리,"#오름, #걷기/등산, #친구, #맑음, #가을, #우수관광사업체, #자연경관, #억새, #무장애관광","#오름 #걷기/등산 #친구, #맑음 #가을 #우수관광사업체 #자연경관 #억새 #무장애관광",제주특별자치도 제주시 조천읍 비자림로 768,(+82) 064-783-9900,www.sangumburi.net
CONT_000000000500309,새별오름,"#제주가볼만한곳, #제주오름, #제주산책, #억새, #애월, #제주가을, #초보자, #탐방로","#제주가볼만한곳 #제주오름 #제주산책, #억새 #애월 #제주가을 #초보자 #탐방로",제주특별자치도 제주시 애월읍 봉성리 산 59-8,(+82) 064-728-2753/064-728-2762,
CONT_000000000500343,섭지코지,"#서귀포가볼만한곳, #제주도서쪽코스, #제주도관광코스, #제주바다, #해안길, #성산, #선녀바위, #붉은오름","#서귀포가볼만한곳 #제주도서쪽코스 #제주도관광코스, #제주바다 #해안길 #성산 #선녀바위 #붉은오름",제주 서귀포시 성산읍 고성리,(+82) 064-782-2810,
CONT_000000000500457,오설록티뮤지엄,"#제주여행, #제주도놀거리, #제주도체험, #오설록, #차밭, #힐링, #녹차, #디저트","#제주여행 #제주도놀거리 #제주도체험, #오설록 #차밭 #힐링 #녹차 #디저트",제주특별자치도 서귀포시 안덕면 신화역사로 15,(+82) 064-794-5312,https://www.osulloc.com/kr/ko/museum
CONT_000000000500685,한라산국립공원,"#산, #걷기/등산, #경관/포토, #친구, #사계절, #자연경관, #포토스팟, #한라산, #언택트, #단풍, #유네스코","#산 #걷기/등산 #경관/포토, #친구 #사계절 #자연경관 #포토스팟 #한라산 #언택트 #단풍 #유네스코",제주특별자치도 제주시 1100로 2070-61,(+82) 064-713-9950,https://www.jeju.go.kr/hallasan/index.htm
CONT_000000000500535,제주4.3평화공원,"#테마공원, #부모, #커플, #혼자, #친구, #아이, #맑음, #흐림, #미술/박물관, #실내, #실내관광지, #어트랙션, #봄꽃, #벚꽃, #무장애관광","#테마공원 #부모 #커플, #혼자 #친구 #아이 #맑음 #흐림 #미술/박물관 #실내 #실내관광지 #어트랙션 #봄꽃 #벚꽃 #무장애관광",제주특별자치도 제주시 명림로 430,(+82) 064-723-4344,https://jeju43peace.or.kr/
CONT_000000000500438,에코랜드 테마파크,"#제주여행, #제주도동쪽코스, #곶자왈, #테마공원, #어린이, #야간개장, #기차, #야외관광지, #우수관광사업체","#제주여행 #제주도동쪽코스 #곶자왈, #테마공원 #어린이 #야간개장 #기차 #야외관광지 #우수관광사업체",제주특별자치도 제주시 조천읍 번영로 1278-169,(+82) 064-802-8000,www.ecolandjeju.co.kr
CONT_000000000500466,용눈이오름,"#제주도관광, #제주도오름, #제주산책, #힐링, #구좌, #억새, #분화구, #오름추천","#제주도관광 #제주도오름 #제주산책, #힐링 #구좌 #억새 #분화구 #오름추천",제주특별자치도 제주시 구좌읍 종달리 산28,(+82),
