CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,BASE_MT,ALL_TOTAL_CO,MON_VIEWS_CO,TUES_VIEWS_CO,WED_VIEWS_CO,THUR_VIEWS_CO,FRI_VIEWS_CO,SAT_VIEWS_CO,SUN_VIEWS_CO
c1,관광지,브랭섬홀아시아 아이스링크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234(3번게이트),2023,05,116,19,18,22,15,16,12,14
c1,관광지,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,2023,05,82,13,19,12,10,7,8,13
c1,관광지,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,2023,05,412,67,66,71,54,50,35,69
c1,관광지,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,2023,05,426,77,76,77,56,45,50,45
c1,관광지,1112도로,제주특별자치도 제주시 명림로 584 (봉개동),2023,05,36,8,3,6,8,4,5,2
c1,관광지,4·3해원방사탑,제주특별자치도 제주시 신산로 82,2023,05,50,12,11,3,7,5,7,5
c1,관광지,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,2023,05,141,33,21,22,16,17,11,21
c1,관광지,9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,2023,05,490,98,100,80,56,49,44,63
c1,관광지,9연대 본부 옛터,제주특별자치도 서귀포시 대정읍 일주서로 2497,2023,05,77,12,17,7,7,15,9,10
c1,관광지,Cafe 몽스파,제주특별자치도 제주시 서사로 28,2023,05,39,6,5,5,7,5,7,4
c1,관광지,M1971 요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,2023,05,96,19,13,18,12,13,11,10
c1,관광지,SM 디지털아트 뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,2023,05,121,19,18,22,19,13,12,18
c1,관광지,THE WE,제주특별자치도 서귀포시 1100로 453-95,2023,05,53,9,10,4,9,10,4,7
c1,관광지,WE호텔 웰니스센터,제주특별자치도 서귀포시 1100로 453-95,2023,05,217,29,25,44,47,29,16,27
c1,관광지,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,2023,05,86,13,21,9,8,8,17,10
c1,관광지,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,2023,05,136,18,19,21,18,18,13,29
c1,관광지,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 125,2023,05,54,8,14,10,6,6,6,4
