CL_NM,TRRSRT_NM,TRRSRT_ADDR,ORIGIN_CL_NM,ANALS_BEGIN_DE,ANALS_END_DE,AVRG_SCORE_VALUE,CORE_KWRD_CN,CORE_KWRD_CO,AFRM_KWRD_CN,AFRM_KWRD_CO,NEGA_KWRD_CN,NEGA_KWRD_CO
공연전시,고흐의 정원,제주 서귀포시 성산읍 삼달신풍로 126-5,NAVER,20230101,20230630,0,"파충류,아이,체험,고흐,사진,친절,정원,설명,그림,시간",10,친절,1,,0
공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,NAVER,20230101,20230630,0,"작품,음악,그림,시간,전시,감상,벙커,관람,제주,아이",10,,0,,0
공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,NAVER,20230101,20230630,0,"자동차,아이,피아노,체험,사슴,먹이,박물관,구경,시간,전시",10,,0,,0
공연전시,수목원테마파크,제주 제주시 은수길 69,NAVER,20230101,20230630,0,"아이,체험,썰매,얼음,수목원,테마파크,아이스,시간,사진,어른",10,,0,,0
공연전시,아리랑공연장,제주 서귀포시 표선면 번영로 2564-21,NAVER,20230101,20230630,0,"공연,아이,태권도,관람,낙타,사진,만족,부모,한국,시간",10,만족,1,,0
공연전시,건강과성박물관,제주 서귀포시 안덕면 일주서로 1611,NAVER,20230101,20230630,0,"유익,생각,내용,시간,친구,구경,설명,사진,관람,다양",10,,0,,0
공연전시,윈드1947카트 테마파크,제주 서귀포시 토평공단로 78-27,NAVER,20230101,20230630,0,"카트,코스,아이,서바이벌,시간,친절,매연,바퀴,운전,대기",10,친절,1,,0
공연전시,테디베어박물관,제주 서귀포시 중문관광로110번길 31,NAVER,20230101,20230630,0,"테디베어,아이,인형,곰돌이,볼거리,구경,생각,다양,방문,시간",10,,0,,0
공연전시,점보빌리지,제주 서귀포시 안덕면 평화로319번길 31-11,NAVER,20230101,20230630,0,"코끼리,아이,공연,바나나,체험,경험,먹이,트레킹,생각,패키지",10,,0,,0
공연전시,헬로키티아일랜드,제주 서귀포시 안덕면 한창로 340,NAVER,20230101,20230630,0,"아이,사진,키티,방문,시간,여자,헬로키티,볼거리,핑크,생각",10,,0,,0
공연전시,피규어뮤지엄제주,제주 서귀포시 안덕면 한창로 243,NAVER,20230101,20230630,0,"아이,피규어,어른,마블,구경,사진,볼거리,캐릭터,다양,생각",10,,0,,0
공연전시,제주난타,제주 제주시 선돌목동길 56-26,NAVER,20230101,20230630,0,"공연,배우,아이,시간,난타,관람,가족,추천,최고,만족",10,"추천,만족",2,,0
공연전시,스카이워터쇼,제주 제주시 구좌읍 번영로 2172-80,NAVER,20230101,20230630,0,"공연,아이,부모,시간,사진,만족,관람,기대,추천,생각",10,"만족,기대,추천",3,,0
기타,제주산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,NAVER,20230101,20230630,0,"온천,탄산,노천,야외,이용,피로,여행,제주,방문,시설",10,,0,피로,1
기타,오설록 티 뮤지엄,제주 서귀포시 안덕면 신화역사로 15,NAVER,20230101,20230630,0,"녹차,아이스크림,오설록,공사,제주,사진,선물,음료,방문,카페",10,,0,,0
기타,명월국민학교,제주 제주시 한림읍 명월로 48,NAVER,20230101,20230630,0,"추억,국민학교,음료,아이,커피,카페,사진,운동장,방문,학교",10,추억,1,,0
레저관광,김녕요트투어,제주 제주시 구좌읍 구좌해안로 229-16,NAVER,20230101,20230630,0,"돌고래,요트,친절,낚시,투어,직원,사진,체험,아이,날씨",10,친절,1,,0
레저관광,서귀포잠수함,제주 서귀포시 남성중로 40,NAVER,20230101,20230630,0,"잠수함,아이,경험,물고기,체험,사진,친절,추억,시간,설명",10,"친절,추억",2,,0
레저관광,제주 레일바이크,제주 제주시 구좌읍 용눈이오름로 641,NAVER,20230101,20230630,0,"자동,풍경,레일바이크,동물,아이,구경,코스,소리,경치,시간",10,,0,,0
레저관광,제주레포츠랜드,제주 제주시 조천읍 와흘상서2길 47,NAVER,20230101,20230630,0,"친절,카트,코스,아이,서바이벌,친구,직원,제주도,제주,다음",10,친절,1,,0
레저관광,제주제트,제주 서귀포시 대포로 172-5,NAVER,20230101,20230630,0,"스릴,주상절리,보트,생각,제주,제주도,아이,제트,시간,친절",10,친절,1,,0
키즈,뽀로로&타요테마파크 제주,제주 서귀포시 안덕면 병악로 269,NAVER,20230101,20230630,0,"아이,뽀로로,시간,아기,놀이,기구,방문,공연,제주도,실내",10,,0,,0
키즈,아쿠아플라넷 제주,제주 서귀포시 성산읍 섭지코지로 95,NAVER,20230101,20230630,0,"공연,아이,볼거리,시간,제주,아쿠아리움,방문,규모,구경,다양",10,,0,,0
테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,NAVER,20230101,20230630,0,"공연,아이,체험,카트,승마,시간,부모,연기,어른,기대",10,기대,1,,0
테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,NAVER,20230101,20230630,0,"미로,아이,시간,지도,생각,사진,산책,관리,공원,메이즈랜드",10,,0,,0
테마파크,여미지식물원,제주 서귀포시 중문관광로 93,NAVER,20230101,20230630,0,"식물,실내,식물원,구경,정원,방문,볼거리,관리,다양,산책",10,,0,,0
테마파크,브릭캠퍼스,제주 제주시 1100로 3047,NAVER,20230101,20230630,0,"아이,레고,작품,시간,체험,브릭,구경,블럭,어른,볼거리",10,,0,,0
테마파크,일출랜드,제주 서귀포시 성산읍 중산간동로 4150-30,NAVER,20230101,20230630,0,"산책,미천,동굴,다양,관람,구경,볼거리,사진,제주,관리",10,,0,,0
테마파크,상효원,제주 서귀포시 산록남로 2847-37,NAVER,20230101,20230630,0,"사진,산책,벚꽃,튤립,기차,수국,축제,생각,산책로,나무",10,,0,,0
테마파크,소인국테마파크,제주 서귀포시 안덕면 중산간서로 1878,NAVER,20230101,20230630,0,"아이,사진,볼거리,세계,방문,생각,여행,열차,추천,구경",10,추천,1,,0
테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,NAVER,20230101,20230630,0,"스누피,아이,사진,가든,시간,실내,방문,야외,볼거리,생각",10,,0,,0
테마파크,신화테마파크제주,제주 서귀포시 안덕면 신화역사로304번길 38,NAVER,20230101,20230630,0,"아이,기구,놀이,시간,놀이기구,이용,가격,생각,신화,테마파크",10,,0,,0
테마파크,제주돌문화공원,제주 제주시 조천읍 남조로 2023,NAVER,20230101,20230630,0,"제주,사진,방문,산책,볼거리,구경,박물관,공원,날씨,생각",10,,0,,0
테마파크,제주민속촌,제주 서귀포시 표선면 민속해안로 631-34,NAVER,20230101,20230630,0,"공연,제주,아이,민속촌,구경,방문,사진,볼거리,수국,체험",10,,0,,0
테마파크,카멜리아힐,제주 서귀포시 안덕면 병악로 166,NAVER,20230101,20230630,0,"수국,사진,동백꽃,동백,산책,방문,산책로,카멜리아,시간,구경",10,,0,,0
테마파크,한림공원,제주 제주시 한림읍 한림로 300,NAVER,20230101,20230630,0,"볼거리,공원,식물,시간,동굴,산책,구경,다양,공작새,한림",10,,0,,0
테마파크,제주허브동산,제주 서귀포시 표선면 돈오름로 170,NAVER,20230101,20230630,0,"족욕,사진,허브,조명,저녁,볼거리,야간,산책,여행,방문",10,,0,,0
테마파크,화조원,제주 제주시 애월읍 애원로 804,NAVER,20230101,20230630,0,"아이,동물,먹이,체험,알파카,공연,독수리,방문,시간,관리",10,,0,,0
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,NAVER,20230101,20230630,0,"이중섭,작품,미술관,그림,작가,전시,생가,화가,감상,관람",10,,0,,0
