BASE_YM,CL_NM,TRRSRT_NM,TRRSRT_ADDR,SCORE_VALUE,MOP_CN,REGIST_DE
202312,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,100.0,"한참,그림,행복,원화,시간",20231219
202312,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,100.0,"미디어아트,감상,검색,전시회,기분",20231217
202312,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,20.0,가격,20231211
202312,공연전시,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,100.0,"처음,압도,실내,체험,느낌",20231203
202312,공연전시,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610,80.0,"오전,내부,가운데,느낌,자동차",20231212
202312,기타,명월국민학교,제주 제주시 한림읍 명월로 48,40.0,"아이스,아메리카노",20231228
202312,기타,명월국민학교,제주 제주시 한림읍 명월로 48,80.0,"확실,종류,커피",20231227
202312,기타,명월국민학교,제주 제주시 한림읍 명월로 48,20.0,"!컵,식음,음료,친절,직원",20231225
202312,레저관광,제주레포츠랜드,제주 제주시 조천읍 와흘상서2길 47,100.0,"커피,사계절,시간,게임,사장",20231230
202312,레저관광,제주레포츠랜드,제주 제주시 조천읍 와흘상서2길 47,20.0,,20231230
202312,레저관광,제주레포츠랜드,제주 제주시 조천읍 와흘상서2길 47,100.0,,20231230
202312,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,20.0,"승마,체험,친절",20231229
202312,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,100.0,,20231213
202312,테마파크,라온 더마파크,제주 제주시 한림읍 월림7길 155,20.0,"처음,체험,설명,유튭,직원",20231209
202312,테마파크,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47,100.0,"산책로,생각,퍼즐,감사,기분",20231203
202312,테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,80.0,,20231230
202312,테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,100.0,"애견,방문,깔끔,관리,생각",20231228
202312,테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,80.0,"기념품,아트",20231227
202312,테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,100.0,"찰리,철학,정원,브라운,자연",20231225
202312,테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,80.0,,20231220
202312,테마파크,스누피가든,제주 제주시 구좌읍 금백조로 930,80.0,"실내,최고,볼거리,일정,아이",20231204
202312,테마파크,제주돌문화공원,제주 제주시 조천읍 남조로 2023,60.0,"실내,추천,부담,예정,날씨",20231222
202312,테마파크,제주돌문화공원,제주 제주시 조천읍 남조로 2023,100.0,"이상,기대,시간,설명,공연",20231213
